epoch,loss,psnr,ssim
0,3196.697265625,10.798105239868164,0.040829628705978394
1,2484.260009765625,11.893150329589844,0.25072792172431946
2,901.85400390625,16.293758392333984,0.7404521107673645
3,618.153076171875,17.934160232543945,0.7928677797317505
4,128.0209197998047,24.77231216430664,0.9183043837547302
5,144.09323120117188,24.258684158325195,0.9324041604995728
6,98.30586242675781,25.919326782226562,0.9461045265197754
7,78.03585815429688,26.922178268432617,0.9489988684654236
8,62.61371612548828,27.8784236907959,0.9561187028884888
9,46.774940490722656,29.144987106323242,0.9658909440040588
10,35.055362701416016,30.3975772857666,0.9736443758010864
11,28.830121994018555,31.246654510498047,0.978471577167511
12,24.975711822509766,31.86994171142578,0.9816100001335144
13,21.9268798828125,32.43535232543945,0.9832538366317749
14,20.34374237060547,32.76081085205078,0.9833013415336609
15,20.014389038085938,32.831695556640625,0.9828131198883057
16,19.354225158691406,32.977359771728516,0.983311653137207
17,17.138206481933594,33.50546646118164,0.9854463338851929
18,13.658933639526367,34.49095153808594,0.988523542881012
19,10.306072235107422,35.71419143676758,0.9910929799079895
