epoch,loss,lr,psnr,ssim
54,679.7288921786602,0.1,15.205454,0.22713807
55,664.1786191327436,0.1,15.30365,0.23100765
56,671.0799847622892,0.1,15.259707,0.23202786
57,659.9820302262013,0.1,15.323688,0.23463556
58,660.2342554171778,0.1,15.325806,0.23700711
59,651.957998137472,0.1,15.397725,0.2407239
60,637.8191290077658,0.1,15.487567,0.24224678
61,648.3902389513275,0.1,15.409705,0.24388753
62,636.993877615452,0.1,15.497676,0.24632779
63,633.9408356622788,0.1,15.526167,0.24936824
64,628.2068406198731,0.1,15.54878,0.24899243
65,631.8730339498696,0.1,15.541136,0.2516539
66,627.2984207411888,0.1,15.5413,0.25327557
67,624.1574602294817,0.1,15.601629,0.25592434
68,624.3412486550533,0.1,15.578229,0.25625187
69,623.3667816986908,0.1,15.588047,0.25792766
70,626.1724619560619,0.1,15.564881,0.25926673
71,619.3936749183789,0.1,15.616506,0.2616028
72,604.8539762247381,0.1,15.728986,0.2635489
73,612.2026466556191,0.1,15.666878,0.26385778
74,606.3895213202006,0.1,15.716545,0.26758805
75,597.1684138045604,0.1,15.780854,0.2672984
76,608.1312472827442,0.1,15.688938,0.26809254
77,589.7791115635201,0.1,15.853873,0.27062482
78,605.0848115457071,0.1,15.741072,0.2706727
79,588.6869176359762,0.1,15.841174,0.2734584
80,595.7110621756312,0.1,15.795729,0.27313712
81,589.2956874377735,0.1,15.851215,0.27431238
82,589.5780543929156,0.1,15.850671,0.27834937
83,583.8678577018878,0.1,15.87682,0.27604526
84,583.0097550466203,0.1,15.898439,0.2773993
85,587.159270183051,0.1,15.864136,0.28095987
86,573.7911070173567,0.1,15.969918,0.2821633
87,589.5709380743484,0.1,15.852076,0.2816669
88,574.4576343321994,0.1,15.965397,0.2816955
89,567.4964424977738,0.1,16.004343,0.28661653
90,589.3089822436136,0.1,15.862899,0.28521848
91,559.6734604215683,0.1,16.052814,0.28607166
92,575.7774913645466,0.1,15.950886,0.28683352
93,567.5593183853758,0.1,16.024536,0.28859216
94,561.8382875662616,0.1,16.061132,0.28847727
95,559.9402044485281,0.1,16.070517,0.29121158
96,564.8739525636651,0.1,16.047554,0.29199913
97,555.5619236779592,0.1,16.097414,0.29445162
98,559.8288003225175,0.1,16.093983,0.29306552
99,562.1099406618358,0.1,16.05241,0.29536137
100,558.0713472190408,0.1,16.075262,0.29373777
101,558.0091424235864,0.1,16.084976,0.29389882
102,554.7617501054696,0.1,16.123863,0.29777014
103,553.2187585000162,0.1,16.134542,0.29775992
104,546.6414019905002,0.1,16.186543,0.29930812
105,555.6805882398686,0.1,16.123127,0.30110574
106,539.4993817179258,0.1,16.221815,0.30131623
107,544.0353377402366,0.1,16.217445,0.30256632
108,549.6459788793353,0.1,16.159256,0.30173945
109,544.304605465189,0.1,16.196745,0.30618525
110,541.2466975784465,0.1,16.22182,0.30436453
111,539.0092197518039,0.1,16.250412,0.30489394
112,539.3830259757613,0.1,16.232956,0.30733278
113,544.9071945327896,0.1,16.195406,0.30691597
114,540.608012161353,0.1,16.22292,0.30723396
115,533.6197271833906,0.1,16.298086,0.307825
116,541.0035362112732,0.1,16.235071,0.31034684
117,535.1615388461931,0.1,16.272299,0.30941936
118,534.529147211547,0.1,16.279774,0.3099511
119,533.2010736862306,0.1,16.272284,0.3112308
120,529.9063629713349,0.1,16.330147,0.314028
121,532.0541964661456,0.1,16.299084,0.30838805
122,529.9153423121128,0.1,16.327267,0.3157847
123,526.1697376174305,0.1,16.358152,0.31582928
124,517.8254911372816,0.1,16.427086,0.31906906
125,532.4702917071996,0.1,16.302303,0.31489226
126,525.2414489379516,0.1,16.35685,0.31787455
127,526.2018786069918,0.1,16.340696,0.31696197
128,521.6831672043312,0.1,16.39295,0.31936306
129,518.0144481650754,0.1,16.422022,0.32000157
130,515.5205762250288,0.1,16.455097,0.3206558
131,524.1872418770612,0.1,16.37663,0.32072744
132,521.546561163825,0.1,16.380203,0.32112354
133,514.5795821799888,0.1,16.460667,0.32218355
134,522.7264291181527,0.1,16.394512,0.3219958
