epoch,loss,lr,psnr,ssim
0,609.7493896484375,0.1,10.033515,0.016511295
1,310.9190368652344,0.1,12.964789,0.61243504
2,263.8900451660156,0.1,13.677033,0.6346441
3,216.33673095703125,0.1,14.539764,0.6560374
4,192.41928100585938,0.1,15.047988,0.6700642
5,180.25604248046875,0.1,15.33094,0.6795899
6,173.26736450195312,0.1,15.502155,0.686635
7,168.49844360351562,0.1,15.62299,0.6922927
8,164.6385955810547,0.1,15.723381,0.6971399
9,161.10711669921875,0.1,15.817394,0.7014857
10,157.65618896484375,0.1,15.911351,0.70550066
11,154.19400024414062,0.1,16.007767,0.7092795
12,150.70254516601562,0.1,16.107264,0.71287555
13,147.19821166992188,0.1,16.209513,0.7163194
14,143.71156311035156,0.1,16.313723,0.71962804
15,140.27740478515625,0.1,16.418892,0.722812
16,136.92906188964844,0.1,16.523968,0.72587824
17,133.6956787109375,0.1,16.627924,0.7288318
18,130.6003875732422,0.1,16.729841,0.73167807
19,127.65973663330078,0.1,16.828945,0.7344241
20,124.88340759277344,0.1,16.924644,0.73707575
21,122.27422332763672,0.1,17.01655,0.7396422
22,119.82886505126953,0.1,17.104492,0.74213153
23,117.53848266601562,0.1,17.188509,0.74455523
24,115.38972473144531,0.1,17.268831,0.74692315
25,113.36605072021484,0.1,17.345854,0.74924666
26,111.4488754272461,0.1,17.420095,0.7515361
27,109.61908721923828,0.1,17.492144,0.7538015
28,107.85812377929688,0.1,17.562613,0.7560513
29,106.14928436279297,0.1,17.63209,0.75829333
30,104.47848510742188,0.1,17.701094,0.76053214
31,102.83477783203125,0.1,17.770048,0.7627737
32,101.21064758300781,0.1,17.83925,0.765018
33,99.60194396972656,0.1,17.90889,0.7672661
34,98.0074691772461,0.1,17.979012,0.76951694
35,96.42842102050781,0.1,18.049578,0.771769
36,94.86773681640625,0.1,18.120455,0.7740181
37,93.32933807373047,0.1,18.191458,0.77626103
38,91.8175048828125,0.1,18.262373,0.7784948
39,90.336181640625,0.1,18.332989,0.78071404
40,88.88866424560547,0.1,18.403114,0.78291565
41,87.4771957397461,0.1,18.472597,0.78509766
42,86.10295104980469,0.1,18.541327,0.78725594
43,84.76594543457031,0.1,18.609253,0.7893898
44,83.46517181396484,0.1,18.676373,0.7914967
45,82.19888305664062,0.1,18.742725,0.7935767
46,80.96473693847656,0.1,18.808388,0.7956291
47,79.76008605957031,0.1,18.873455,0.79765373
48,78.58221435546875,0.1,18.938038,0.79965144
49,77.42854309082031,0.1,19.002245,0.8016219
50,76.29679870605469,0.1,19.066172,0.8035664
51,75.18513488769531,0.1,19.1299,0.80548495
52,74.09210968017578,0.1,19.193493,0.8073794
53,73.01676940917969,0.1,19.256987,0.8092496
54,71.95858764648438,0.1,19.320389,0.81109625
55,70.9173812866211,0.1,19.383698,0.8129196
56,69.89324188232422,0.1,19.446884,0.81472117
57,68.88639068603516,0.1,19.509918,0.8165019
58,67.89715576171875,0.1,19.572754,0.8182614
59,66.92579650878906,0.1,19.635355,0.8199997
60,65.97247314453125,0.1,19.697683,0.82171917
61,65.03723907470703,0.1,19.759712,0.8234196
62,64.11992645263672,0.1,19.82142,0.82510114
63,63.22020721435547,0.1,19.88281,0.8267663
64,62.33758544921875,0.1,19.943886,0.8284146
65,61.471458435058594,0.1,20.00466,0.8300473
66,60.621116638183594,0.1,20.065163,0.83166474
67,59.78583908081055,0.1,20.125423,0.833267
68,58.964908599853516,0.1,20.185469,0.8348562
69,58.15766143798828,0.1,20.245329,0.8364304
70,57.36351013183594,0.1,20.30503,0.83799213
71,56.582000732421875,0.1,20.364592,0.83954066
72,55.8127326965332,0.1,20.42402,0.8410757
73,55.05543518066406,0.1,20.483328,0.8425978
74,54.30990219116211,0.1,20.542511,0.844106
75,53.575992584228516,0.1,20.601568,0.8456009
76,52.853580474853516,0.1,20.660492,0.84708184
77,52.14255905151367,0.1,20.719275,0.8485493
78,51.442813873291016,0.1,20.77791,0.85000235
79,50.75419998168945,0.1,20.836397,0.8514406
80,50.076541900634766,0.1,20.894733,0.8528647
81,49.40963363647461,0.1,20.952919,0.8542741
82,48.75334930419922,0.1,21.010946,0.8556683
83,48.1072998046875,0.1,21.068832,0.85704845
84,47.471195220947266,0.1,21.126596,0.85841304
85,46.844757080078125,0.1,21.184248,0.8597639
86,46.22770690917969,0.1,21.24179,0.8611002
87,45.61979293823242,0.1,21.29924,0.86242265
88,45.020782470703125,0.1,21.356604,0.86373043
89,44.43046951293945,0.1,21.413885,0.8650255
90,43.84866714477539,0.1,21.471092,0.8663063
91,43.27521514892578,0.1,21.528229,0.86757445
92,42.7099609375,0.1,21.58529,0.8688292
93,42.15277099609375,0.1,21.642288,0.87007284
94,41.603515625,0.1,21.699213,0.8713026
95,41.06206130981445,0.1,21.756071,0.872521
96,40.52827453613281,0.1,21.812864,0.87372756
97,40.00202178955078,0.1,21.869589,0.8749228
98,39.48316192626953,0.1,21.926252,0.8761075
99,38.9715461730957,0.1,21.982859,0.8772811
100,38.46702575683594,0.1,22.039413,0.8784439
101,37.96945571899414,0.1,22.095917,0.879597
102,37.47869110107422,0.1,22.152374,0.88073874
103,36.994590759277344,0.1,22.2088,0.8818715
104,36.51702880859375,0.1,22.265184,0.8829946
105,36.04587936401367,0.1,22.321543,0.8841079
106,35.58484649658203,0.1,22.377403,0.88520193
107,35.12379455566406,0.1,22.433998,0.88630104
108,34.67304992675781,0.1,22.490051,0.88737965
109,34.2285270690918,0.1,22.54605,0.88844866
110,33.79003143310547,0.1,22.602005,0.8895068
111,33.35737609863281,0.1,22.657934,0.89055634
112,32.9304084777832,0.1,22.713842,0.8915966
113,32.50897979736328,0.1,22.76974,0.892628
