epoch,loss,lr,psnr,ssim
0,404.46795654296875,0.1,10.054808,0.016583096
1,428.2974853515625,0.1,9.8064,0.44486016
2,370.0371398925781,0.1,10.441383,0.4634424
3,315.93145751953125,0.1,11.127898,0.47954136
4,282.3099670410156,0.1,11.616543,0.49081188
5,262.48211669921875,0.1,11.932779,0.49855548
6,250.3223876953125,0.1,12.138752,0.5041348
7,242.3935546875,0.1,12.278513,0.50841296
8,236.84597778320312,0.1,12.379044,0.511903
9,232.664794921875,0.1,12.456381,0.5149084
10,229.27719116210938,0.1,12.520066,0.5176127
11,226.35092163085938,0.1,12.575842,0.52012855
12,223.68978881835938,0.1,12.627195,0.5225258
13,221.17649841308594,0.1,12.67626,0.5248487
14,218.74142456054688,0.1,12.724335,0.5271251
15,216.34381103515625,0.1,12.772196,0.52937126
16,213.9613037109375,0.1,12.820285,0.53159773
17,211.58302307128906,0.1,12.868827,0.5338111
18,209.20547485351562,0.1,12.917902,0.53601223
19,206.82992553710938,0.1,12.967498,0.5382032
20,204.46063232421875,0.1,13.017534,0.5403825
21,202.1034393310547,0.1,13.067892,0.54254854
22,199.7652587890625,0.1,13.11843,0.5446999
23,197.45333862304688,0.1,13.168985,0.5468339
24,195.17466735839844,0.1,13.219395,0.5489482
25,192.93597412109375,0.1,13.269498,0.55104077
26,190.7432403564453,0.1,13.3191395,0.5531094
27,188.60159301757812,0.1,13.368178,0.5551528
28,186.5152130126953,0.1,13.416491,0.55716926
29,184.4871826171875,0.1,13.463972,0.55915797
30,182.51947021484375,0.1,13.510543,0.56111836
31,180.61288452148438,0.1,13.556149,0.5630504
32,178.7671661376953,0.1,13.6007595,0.56495404
33,176.98098754882812,0.1,13.644373,0.56683004
34,175.2520751953125,0.1,13.687009,0.5686791
35,173.57742309570312,0.1,13.72871,0.57050323
36,171.95330810546875,0.1,13.769539,0.57230294
37,170.37551879882812,0.1,13.809572,0.5740801
38,168.839599609375,0.1,13.848904,0.5758363
39,167.3410186767578,0.1,13.887623,0.5775743
40,165.87527465820312,0.1,13.925831,0.5792943
41,164.43817138671875,0.1,13.963623,0.58099866
42,163.02589416503906,0.1,14.001083,0.582689
43,161.63507080078125,0.1,14.038294,0.58436555
44,160.26300048828125,0.1,14.075317,0.58603096
45,158.9075164794922,0.1,14.1122055,0.58768535
46,157.5670928955078,0.1,14.148994,0.5893292
47,156.24078369140625,0.1,14.185705,0.59096277
48,154.9281005859375,0.1,14.222345,0.5925871
49,153.6290740966797,0.1,14.258912,0.5942016
50,152.34405517578125,0.1,14.29539,0.59580714
51,151.0735321044922,0.1,14.331759,0.5974035
52,149.8182373046875,0.1,14.367994,0.5989894
53,148.57891845703125,0.1,14.404068,0.6005664
54,147.35630798339844,0.1,14.439951,0.6021334
55,146.1510009765625,0.1,14.475618,0.603691
56,144.96347045898438,0.1,14.511049,0.605238
57,143.79403686523438,0.1,14.546222,0.60677564
58,142.6428680419922,0.1,14.581129,0.6083031
59,141.50985717773438,0.1,14.615761,0.60982144
60,140.39486694335938,0.1,14.650114,0.61133003
61,139.2974853515625,0.1,14.684191,0.61282945
62,138.21728515625,0.1,14.7179985,0.6143192
63,137.1537322998047,0.1,14.751545,0.61580086
64,136.10623168945312,0.1,14.784839,0.61727333
65,135.0741729736328,0.1,14.817894,0.61873794
66,134.05697631835938,0.1,14.850721,0.6201941
67,133.05404663085938,0.1,14.883333,0.621642
